product_name,rating,text,sentiment,issues,date,source
Paula Choice BHA Exfoliant,5,Really effective and gentle on my skin.,positive,,2026-03-15,synthetic
Aveeno Daily Moisturizer,5,"Amazing product, my skin is so much better.",positive,,2026-03-15,synthetic
Clinique Dramatically Different,3,"Decent product, but I've used better.",neutral,,2026-03-15,synthetic
Clinique Dramatically Different,2,Gave me a rash! Had to stop using this Clinique Dramatically Different.,negative,rash,2026-03-15,synthetic
Kiehl Ultra Facial Cream,4,"Amazing product, my skin is so much better.",positive,,2026-03-15,synthetic
CeraVe Hydrating Cleanser,4,⭐⭐⭐⭐⭐ Best CeraVe Hydrating Cleanser I've ever used.,positive,,2026-03-15,synthetic
The Ordinary Niacinamide,4,Love this The Ordinary Niacinamide! Works great.,positive,,2026-03-15,synthetic
The Ordinary Niacinamide,2,Caused terrible breakouts. Avoid this The Ordinary Niacinamide.,negative,acne,2026-03-15,synthetic
CeraVe Hydrating Cleanser,4,"Amazing product, my skin is so much better.",positive,,2026-03-15,synthetic
Cetaphil Gentle Cleanser,4,"Amazing product, my skin is so much better.",positive,,2026-03-15,synthetic
Paula Choice BHA Exfoliant,2,Really disappointed. Caused irritation.,negative,sensitivity,2026-03-15,synthetic
Olay Regenerist Retinol,5,Love this Olay Regenerist Retinol! Works great.,positive,,2026-03-15,synthetic
Aveeno Daily Moisturizer,5,Really effective and gentle on my skin.,positive,,2026-03-15,synthetic
La Roche-Posay Moisturizer,3,Works fine but a bit expensive.,neutral,,2026-03-15,synthetic
Aveeno Daily Moisturizer,3,"Decent product, but I've used better.",neutral,,2026-03-15,synthetic
La Roche-Posay Moisturizer,4,⭐⭐⭐⭐⭐ Best La Roche-Posay Moisturizer I've ever used.,positive,,2026-03-15,synthetic
Cetaphil Gentle Cleanser,3,Works fine but a bit expensive.,neutral,,2026-03-15,synthetic
CeraVe Hydrating Cleanser,4,"Amazing product, my skin is so much better.",positive,,2026-03-15,synthetic
The Ordinary Niacinamide,2,Gave me a rash! Had to stop using this The Ordinary Niacinamide.,negative,rash,2026-03-15,synthetic
Neutrogena Hydro Boost,5,⭐⭐⭐⭐⭐ Best Neutrogena Hydro Boost I've ever used.,positive,,2026-03-15,synthetic
Clinique Dramatically Different,4,Really effective and gentle on my skin.,positive,,2026-03-15,synthetic
La Roche-Posay Moisturizer,4,Love this La Roche-Posay Moisturizer! Works great.,positive,,2026-03-15,synthetic
CeraVe Hydrating Cleanser,3,"Decent product, but I've used better.",neutral,,2026-03-15,synthetic
Neutrogena Hydro Boost,5,Really effective and gentle on my skin.,positive,,2026-03-15,synthetic
The Ordinary Niacinamide,4,⭐⭐⭐⭐⭐ Best The Ordinary Niacinamide I've ever used.,positive,,2026-03-15,synthetic
Aveeno Daily Moisturizer,3,"Decent product, but I've used better.",neutral,,2026-03-15,synthetic
Neutrogena Hydro Boost,1,Gave me a rash! Had to stop using this Neutrogena Hydro Boost.,negative,"rash,acne",2026-03-15,synthetic
Clinique Dramatically Different,5,"Amazing product, my skin is so much better.",positive,,2026-03-15,synthetic
La Roche-Posay Moisturizer,5,Really effective and gentle on my skin.,positive,,2026-03-15,synthetic
Neutrogena Hydro Boost,5,Love this Neutrogena Hydro Boost! Works great.,positive,,2026-03-15,synthetic
Aveeno Daily Moisturizer,3,"It's okay, nothing special.",neutral,,2026-03-15,synthetic
Neutrogena Hydro Boost,5,⭐⭐⭐⭐⭐ Best Neutrogena Hydro Boost I've ever used.,positive,,2026-03-15,synthetic
Neutrogena Hydro Boost,5,Really effective and gentle on my skin.,positive,,2026-03-15,synthetic
Paula Choice BHA Exfoliant,5,Love this Paula Choice BHA Exfoliant! Works great.,positive,,2026-03-15,synthetic
Aveeno Daily Moisturizer,5,Love this Aveeno Daily Moisturizer! Works great.,positive,,2026-03-15,synthetic
Clinique Dramatically Different,5,Love this Clinique Dramatically Different! Works great.,positive,,2026-03-15,synthetic
Olay Regenerist Retinol,4,Love this Olay Regenerist Retinol! Works great.,positive,,2026-03-15,synthetic
La Roche-Posay Moisturizer,4,Love this La Roche-Posay Moisturizer! Works great.,positive,,2026-03-15,synthetic
CeraVe Hydrating Cleanser,3,"It's okay, nothing special.",neutral,,2026-03-15,synthetic
Cetaphil Gentle Cleanser,5,"Amazing product, my skin is so much better.",positive,,2026-03-15,synthetic
Cetaphil Gentle Cleanser,5,⭐⭐⭐⭐⭐ Best Cetaphil Gentle Cleanser I've ever used.,positive,,2026-03-15,synthetic
Cetaphil Gentle Cleanser,5,⭐⭐⭐⭐⭐ Best Cetaphil Gentle Cleanser I've ever used.,positive,,2026-03-15,synthetic
Aveeno Daily Moisturizer,4,Love this Aveeno Daily Moisturizer! Works great.,positive,,2026-03-15,synthetic
Paula Choice BHA Exfoliant,3,"It's okay, nothing special.",neutral,,2026-03-15,synthetic
Paula Choice BHA Exfoliant,5,Really effective and gentle on my skin.,positive,,2026-03-15,synthetic
Paula Choice BHA Exfoliant,2,Made my skin so dry and flaky. Not good.,negative,"dryness,sensitivity",2026-03-15,synthetic
Cetaphil Gentle Cleanser,5,"Amazing product, my skin is so much better.",positive,,2026-03-15,synthetic
Olay Regenerist Retinol,4,Love this Olay Regenerist Retinol! Works great.,positive,,2026-03-15,synthetic
Cetaphil Gentle Cleanser,2,Really disappointed. Caused irritation.,negative,"irritation,sensitivity",2026-03-15,synthetic
La Roche-Posay Moisturizer,5,Love this La Roche-Posay Moisturizer! Works great.,positive,,2026-03-15,synthetic
CeraVe Hydrating Cleanser,3,"Decent product, but I've used better.",neutral,,2026-03-15,synthetic
Aveeno Daily Moisturizer,5,"Amazing product, my skin is so much better.",positive,,2026-03-15,synthetic
Paula Choice BHA Exfoliant,5,Love this Paula Choice BHA Exfoliant! Works great.,positive,,2026-03-15,synthetic
Paula Choice BHA Exfoliant,5,"Amazing product, my skin is so much better.",positive,,2026-03-15,synthetic
Aveeno Daily Moisturizer,5,"Amazing product, my skin is so much better.",positive,,2026-03-15,synthetic
Paula Choice BHA Exfoliant,4,⭐⭐⭐⭐⭐ Best Paula Choice BHA Exfoliant I've ever used.,positive,,2026-03-15,synthetic
Cetaphil Gentle Cleanser,5,⭐⭐⭐⭐⭐ Best Cetaphil Gentle Cleanser I've ever used.,positive,,2026-03-15,synthetic
Neutrogena Hydro Boost,3,"Decent product, but I've used better.",neutral,,2026-03-15,synthetic
Kiehl Ultra Facial Cream,5,Love this Kiehl Ultra Facial Cream! Works great.,positive,,2026-03-15,synthetic
Neutrogena Hydro Boost,5,"Amazing product, my skin is so much better.",positive,,2026-03-15,synthetic
CeraVe Hydrating Cleanser,5,Love this CeraVe Hydrating Cleanser! Works great.,positive,,2026-03-15,synthetic
Olay Regenerist Retinol,5,"Amazing product, my skin is so much better.",positive,,2026-03-15,synthetic
Paula Choice BHA Exfoliant,3,"It's okay, nothing special.",neutral,,2026-03-15,synthetic
Olay Regenerist Retinol,5,"Amazing product, my skin is so much better.",positive,,2026-03-15,synthetic
